Listing ID,Location,Latitude,Longitude,Number of Guests,Bathrooms,Bedrooms,Beds,Review Count,Room Type,Rating,Minimum Nights,Maximum Nights,Rate (Rp),Rate Type
10344900,"Bendungan Hilir, Central Jakarta",-6.20482,106.81693,2,1.0,1.0,0.0,20,Entire home/apt,4.55,2,1125,213544.0,nightly
30411330,"Bendungan Hilir, Central Jakarta",-6.20469,106.81627,4,1.5,2.0,2.0,45,Entire home/apt,4.96,2,1125,435000.0,nightly
12575863,"Bendungan Hilir, Central Jakarta",-6.22503,106.81923,1,1.5,1.0,1.0,77,Entire home/apt,4.91,2,1125,350000.0,nightly
12855114,"Bendungan Hilir, Central Jakarta",-6.19405,106.81437,2,1.0,1.0,1.0,136,Entire home/apt,4.9,2,1125,300000.0,nightly
40117294,"Bendungan Hilir, Central Jakarta",-6.20994,106.80463,3,1.0,1.0,1.0,6,Private room,4.83,2,60,210000.0,nightly
39353595,"Bendungan Hilir, Central Jakarta",-6.20437,106.81608,2,1.0,1.0,1.0,9,Entire home/apt,4.22,2,1125,300000.0,nightly
29674022,"Bendungan Hilir, Central Jakarta",-6.21428,106.80951,2,1.0,1.0,1.0,53,Entire home/apt,4.87,2,1125,550000.0,nightly
23137787,"Bendungan Hilir, Central Jakarta",-6.21369,106.80961,4,1.5,2.0,2.0,51,Entire home/apt,4.51,1,1125,473797.0,nightly
37633332,"Bendungan Hilir, Central Jakarta",-6.2089,106.8078,1,2.0,1.0,1.0,29,Private room,4.89,1,1125,155000.0,nightly
28652732,"Bendungan Hilir, Central Jakarta",-6.21725,106.79314,1,1.0,1.0,1.0,3,Private room,5.0,1,1125,213544.0,nightly
39062975,"Bendungan Hilir, Central Jakarta",-6.20995,106.81957,4,1.0,2.0,2.0,22,Entire home/apt,4.95,3,1125,450000.0,nightly
34659747,"Bendungan Hilir, Central Jakarta",-6.21458,106.81888,2,1.5,1.0,1.0,26,Entire home/apt,4.2,1,1125,260000.0,nightly
13371240,"Bendungan Hilir, Central Jakarta",-6.19352,106.8166,4,1.0,0.0,2.0,258,Entire home/apt,4.82,1,1125,384379.0,nightly
19883249,"Bendungan Hilir, Central Jakarta",-6.19381,106.81461,4,1.0,0.0,2.0,218,Entire home/apt,4.82,1,1125,384379.0,nightly
17964119,"Bendungan Hilir, Central Jakarta",-6.22726,106.81988,2,1.0,0.0,1.0,53,Entire home/apt,4.79,3,1125,318888.0,nightly
21933580,"Bendungan Hilir, Central Jakarta",-6.22548,106.81906,4,1.0,1.0,1.0,44,Entire home/apt,4.81,2,1125,500000.0,nightly
19326838,"Bendungan Hilir, Central Jakarta",-6.19527,106.81586,3,1.0,1.0,2.0,31,Entire home/apt,4.9,3,360,400000.0,nightly
7655120,"Bendungan Hilir, Central Jakarta",-6.21216,106.81236,2,1.0,1.0,1.0,14,Entire home/apt,4.43,2,1125,550000.0,nightly
7547196,"Bendungan Hilir, Central Jakarta",-6.21048,106.81263,2,1.0,1.0,1.0,3,Entire home/apt,4.0,1,1125,550000.0,nightly
21361425,"Bendungan Hilir, Central Jakarta",-6.2173,106.82125,2,1.0,0.0,1.0,14,Entire home/apt,4.14,2,30,330000.0,nightly
4816403,"Bendungan Hilir, Central Jakarta",-6.20581,106.81795,3,1.0,1.0,2.0,41,Entire home/apt,4.59,2,1125,250000.0,nightly
7524521,"Bendungan Hilir, Central Jakarta",-6.20477,106.81735,2,1.0,1.0,1.0,52,Entire home/apt,4.33,2,1125,225000.0,nightly
